UT,Publication Year,Document Type,lda_topic,lda_probability
WOS:001099888000001,2023,Article,12,0.2669342988525056
WOS:001459099100001,2025,Article,12,0.5385332065594579
WOS:001296948500001,2025,Article,13,0.5167906700917203
WOS:000750753900001,2023,Article,5,0.38555777515501427
WOS:001599129200001,2025,Article,12,0.32960293043420896
WOS:000830831500001,2022,Article,29,0.4712096055231655
WOS:000606826700013,2021,Article,14,0.7328700523179569
WOS:000523867700001,2022,Article,4,0.3357612637835832
WOS:000815416700001,2024,Article,29,0.23451549558082296
WOS:000906630900001,2023,Article,1,0.4755658206343267
WOS:000698640200001,2021,Article,5,0.524907044883405
WOS:000732558200001,2023,Article,25,0.4960097881300773
WOS:000741337400013,2021,Article,2,0.5860836730830209
WOS:000969154500001,2024,Article,16,0.5516795577293085
WOS:000821882300011,2022,Article,4,0.8612450483183165
WOS:000791228600016,2022,Article,3,0.43902959507604183
WOS:001615097300001,2025,Article,16,0.4833112455772389
WOS:000944803800001,2023,Article,15,0.3210949549583813
WOS:000628813700008,2021,Article,4,0.4112751042349832
WOS:001292253600001,2024,Article,4,0.4524338458530902
WOS:001631112400001,2025,Article; Early Access,24,0.44026239901645287
WOS:000822276100001,2022,Article,24,0.6950426189844876
WOS:001316794600001,2025,Article,30,0.3774839277990878
WOS:001620120100013,2025,Article,2,0.2803328043192852
WOS:001487764200001,2025,Article,4,0.37238012049249997
WOS:000923554300002,2022,Article,28,0.20427630807127553
WOS:001179320300001,2024,Article,21,0.5071996894638567
WOS:000716933500007,2021,Article,3,0.4467253646152072
WOS:000750937700001,2022,Article,28,0.29272731159583254
WOS:001426425100001,2025,Article,24,0.8080256978618496
WOS:000995820300002,2022,Article,19,0.6007265602376641
WOS:001201468400001,2024,Article,30,0.6369067246962369
WOS:001499629300014,2025,Article,2,0.4387221208586502
WOS:000985445700002,2024,Article,12,0.20137544138706592
WOS:000555709500051,2020,Article,21,0.37891732808912526
WOS:000545666900002,2020,Article,21,0.3804561063256939
WOS:000713394500001,2022,Article,4,0.290165525827455
WOS:000995501700002,2021,Article,1,0.33897096863337645
WOS:001449557600001,2025,Article,19,0.48757426092062434
WOS:001512477900001,2025,Article,17,0.2879763193932735
WOS:001561888300035,2025,Article,30,0.41456049094458414
WOS:001558097500001,2025,Article,29,0.6075656244088429
WOS:001464994200001,2025,Article; Early Access,4,0.652525745870113
WOS:001537955600001,2025,Article,4,0.4454909329955915
WOS:000640976500009,2020,Article,30,0.6361004259037812
WOS:001310075100001,2024,Article,11,0.45092420497592334
WOS:001594393600001,2025,Article,10,0.5683527232190991
WOS:001465507700001,2025,Article,28,0.2095429877709303
WOS:000818736200002,2022,Article,27,0.4401002431742278
WOS:000646147200001,2023,Article,5,0.5641234838418058
WOS:000578522400002,2020,Article,8,0.28528916671150084
WOS:001353745900004,2024,Article,14,0.582342588657368
WOS:000573431000015,2020,Article,29,0.360645092365421
WOS:001130483000003,2023,Article,19,0.3839483771452657
WOS:000677290100001,2022,Article,3,0.41083659424874813
WOS:001023508300018,2023,Article; Book Chapter,2,0.4581188437736269
WOS:000547781600004,2020,Article,16,0.45597877439355156
WOS:001361174200001,2024,Article,16,0.4871828330358861
WOS:000645850700001,2022,Article,9,0.25012637043576486
WOS:000516827400035,2020,Article,30,0.5469778787534593
WOS:000634300300001,2022,Article,4,0.27659830450273987
WOS:001414431800001,2025,Article,28,0.4905282863784329
WOS:001609434600002,2025,Article,1,0.31051605981343466
WOS:000611881900007,2020,Article,5,0.4574537226241139
WOS:001281690600014,2021,Article; Book Chapter,21,0.31409598059085436
WOS:001240937600001,2024,Article,4,0.32453463446551556
WOS:001240605400001,2024,Article,1,0.3749649571802962
WOS:000620084800002,2021,Article,5,0.4336008005156671
WOS:000507666600021,2020,Article,28,0.3544911762288726
WOS:001584064800001,2025,Article,6,0.2715030812654955
WOS:000908686100001,2023,Article,2,0.4678617854734297
WOS:001507728300012,2025,Article,28,0.4081446573356198
WOS:000619348900001,2022,Article,22,0.6269323554832021
WOS:001419944400006,2025,Article,28,0.5223045191461989
WOS:000574984400010,2020,Article,5,0.3697596635029715
WOS:001102862500009,2023,Article,19,0.3623154738510962
WOS:000744027000021,2022,Article,30,0.3565790118118483
WOS:000646072500007,2021,Article,4,0.35314209125318957
WOS:000676828100001,2022,Article,19,0.4798476913031602
WOS:001088052900001,2024,Article,4,0.36242306976317273
WOS:000721258900006,2021,Article,15,0.42396683420226117
WOS:001459115900002,2025,Article,30,0.3202641209278712
WOS:001063429200004,2023,Article,30,0.509114372097343
WOS:001151864200001,2024,Article,27,0.4926118008090901
WOS:000510528700013,2020,Article,24,0.6365276380943689
WOS:001546261500002,2025,Article,17,0.22710291422919357
WOS:001615697400003,2025,Article,11,0.5963078023747391
WOS:000840658000001,2022,Article,4,0.6814704918151675
WOS:001108548400001,2024,Article,4,0.4733454948902222
WOS:001267218400001,2024,Article,4,0.2668086086233136
WOS:000719793300001,2021,Article,14,0.2396112518847472
WOS:001465587400037,2025,Article,1,0.2729374941726756
WOS:000680711100001,2022,Article,29,0.3068712567553828
WOS:000657248800008,2021,Article,11,0.4443487484317796
WOS:000733143000001,2021,Article,5,0.2831707926248821
WOS:000933068500001,2023,Article,4,0.32423611919281803
WOS:000793576200004,2022,Article,29,0.4472236656832443
WOS:001399412700001,2021,Article,19,0.41834176849030025
WOS:001532005400001,2025,Article,13,0.36165237773069037
WOS:001462045100001,2025,Article; Early Access,16,0.316247087767088
WOS:000855830000001,2022,Article,4,0.7066075687342394
WOS:000625910700001,2022,Article,28,0.35762478724691354
WOS:001454997600001,2025,Article,24,0.7930944651731283
WOS:000803264600008,2022,Article,12,0.4139618326953774
WOS:000918517600001,2023,Article,15,0.2897279174607478
WOS:000655555400005,2021,Article,4,0.3181863510911067
WOS:000609882100024,2021,Article,16,0.2567974498107195
WOS:000606753400011,2020,Article,29,0.33266184243224844
WOS:001663079600007,2025,Article,4,0.327021847504387
WOS:001178697400001,2024,Article,27,0.4976160483462009
WOS:001611690500001,2025,Article; Early Access,30,0.26158112132178635
WOS:000879013200004,2022,Article,1,0.4950088065708465
WOS:000747291900090,2022,Article,21,0.47318826268269065
WOS:001004308100001,2023,Article,4,0.5787220699212089
WOS:000877832500017,2022,Article,19,0.4305886820445511
WOS:001655692900024,2025,Article,4,0.5750804783026052
WOS:000579612500001,2021,Article,19,0.7854343308771681
WOS:000743782500001,2022,Article,14,0.5548736975138834
WOS:001333354800001,2024,Article,6,0.28060269956842243
WOS:001494976800048,2025,Article,4,0.4735169932991621
WOS:001394841400003,2024,Article,14,0.36396334478898545
WOS:001520065900005,2025,Article,4,0.6590856629554684
WOS:000727917500001,2023,Article,5,0.3815446160065645
WOS:001069114500001,2024,Article,4,0.6702550381062766
WOS:000777110900001,2022,Article,8,0.36155004449633066
WOS:000812359100024,2022,Article,12,0.22110129016871188
WOS:000637809000008,2021,Article,2,0.512203061265456
