term,count_early,count_late,count_contemporary,rate_early,rate_late,burst_score,log_odds_late_vs_early
cerebellum cortex,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
persecutory delusions,4,9,11,1.5,3.1666666666666665,0.7472144018302211,0.13011301871911307
integrative psychotherapy,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
social justice ally,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
social sensitivity,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
assisted treatment mat,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
white-matter,4,11,17,1.5,3.8333333333333335,0.9382696385929304,0.3211682554818225
unconscious bias,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
sports cardiology,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
preventive health services,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
history theory,1,1,1,0.5,0.5,0.0,-0.6171013831111072
reasonableness,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
embodied imagination,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
adolescent protection,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
foreign-body,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
failure-to-thrive,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
clinical nurses,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
childhood lifetime prevalence,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
guided imagery,0,1,2,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
dietary restraint,1,2,3,0.5,0.8333333333333334,0.5108256237659907,-0.10627575934511668
regulation scale,2,1,1,0.8333333333333334,0.5,-0.5108256237659907,-1.1279270068770977
police cadets,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
