period,topic,count,period_total,share,display_name
P3_post_pandemic,42,36,4818,0.007471980074719801,College students & campus prevention
P3_post_pandemic,43,38,4818,0.0078870900788709,"Traumainformed, Traumainformed Care, Traumainformed Practice, Principle"
P3_post_pandemic,44,35,4818,0.0072644250726442506,"Elder, Mistreatment, Elderly, Financial"
P3_post_pandemic,45,41,4818,0.008509755085097551,Adverse childhood experiences (ACE)
P3_post_pandemic,46,36,4818,0.007471980074719801,"Perceive Social, Role Social, Support Depressive, Buffer"
P3_post_pandemic,47,36,4818,0.007471980074719801,"Memory, False, Autobiographical, Autobiographical Memory"
P3_post_pandemic,48,42,4818,0.008717310087173101,"Teacher, Classroom, Attitude, Learner"
P3_post_pandemic,49,41,4818,0.008509755085097551,"Woman Experience, Reproductive, Premenstrual, Family Plan"
P3_post_pandemic,50,44,4818,0.0091324200913242,"Trait, Personality Trait, Personality Function, Personality Pathology"
P3_post_pandemic,51,36,4818,0.007471980074719801,"Disclosure, Disclose, Csa, Tell"
P3_post_pandemic,52,47,4818,0.009755085097550851,"Selfesteem, Rosenberg, Rosenberg Selfesteem, Role Selfesteem"
P3_post_pandemic,53,43,4818,0.00892486508924865,"Adverse Event, Growth, Mortality, Trajectory"
P3_post_pandemic,54,35,4818,0.0072644250726442506,"Veteran, Military, Combat, Military Veteran"
P3_post_pandemic,55,41,4818,0.008509755085097551,"Psychotherapy, Chronic Depression, Antidepressant, Major Depression"
P3_post_pandemic,56,35,4818,0.0072644250726442506,"Polyvictimization, Victimization Experience, Type Victimization, Violent Victimization"
P3_post_pandemic,57,52,4818,0.010792860107928601,"Young People, People Experience, Harmful, Helpseeking"
P3_post_pandemic,58,34,4818,0.007056870070568701,"Inflammation, Il, Inflammatory, Cytokine"
P3_post_pandemic,59,46,4818,0.009547530095475302,"Intimate, Intimate Partner, Partner Violence, Coercive"
P3_post_pandemic,60,44,4818,0.0091324200913242,"Disease, Cardiovascular, Heart, Cardiovascular Disease"
P3_post_pandemic,61,41,4818,0.008509755085097551,College students & campus prevention
P3_post_pandemic,62,41,4818,0.008509755085097551,"Mindfulness, Satisfaction, Couple, Relationship Satisfaction"
P3_post_pandemic,63,30,4818,0.0062266500622665,"Executive, Executive Function, Ef, Work Memory"
P3_post_pandemic,64,49,4818,0.01017019510170195,"Csam, Material Csam, Pornography, Enforcement"
P3_post_pandemic,65,35,4818,0.0072644250726442506,Psychosis & psychotic-like experiences
P3_post_pandemic,66,32,4818,0.006641760066417601,"Aud, Drinking, Drink, Alcoholrelated"
P3_post_pandemic,67,33,4818,0.00684931506849315,"Alexithymia, Toronto, Toronto Alexithymia, Ta"
P3_post_pandemic,68,36,4818,0.007471980074719801,"Pregnancy, Postpartum, Perinatal, Unintended"
P3_post_pandemic,69,38,4818,0.0078870900788709,"Prevention Program, Schoolbased, Skill, Curriculum"
P3_post_pandemic,70,34,4818,0.007056870070568701,"Ptg, Heal, Inquiry, Recovery"
P3_post_pandemic,71,22,4818,0.0045662100456621,"Domestic, Domestic Violence, Dv, Witness Domestic"
P3_post_pandemic,72,26,4818,0.005396430053964301,"Aggression, Aggressive, Reactive, Relational Aggression"
P3_post_pandemic,73,33,4818,0.00684931506849315,"Caregiver, Caregiver Support, Caregiver Experience, Caregiverchild"
P3_post_pandemic,74,30,4818,0.0062266500622665,Maternal & infant mental health
P3_post_pandemic,75,37,4818,0.007679535076795351,"Family Member, Family Function, Family Environment, Family Dynamic"
P3_post_pandemic,76,34,4818,0.007056870070568701,"Narrative, Story, Autonomy, Psychoanalysis"
P3_post_pandemic,78,31,4818,0.006434205064342051,"Selfcompassion, Compassion, Shame, Selfcriticism"
P3_post_pandemic,80,22,4818,0.0045662100456621,College students & campus prevention
P3_post_pandemic,81,34,4818,0.007056870070568701,"Childbirth, Maternity, Mistreatment, Obstetric"
P3_post_pandemic,82,33,4818,0.00684931506849315,"Cptsd, Ptsd Cptsd, Icd, Complex Posttraumatic"
P3_post_pandemic,83,32,4818,0.006641760066417601,"Experience Adverse, Household Dysfunction, Capital, Deviant"
P3_post_pandemic,84,24,4818,0.0049813200498132005,"Cortical, Matter, Thickness, Cortical Thickness"
P3_post_pandemic,85,27,4818,0.00560398505603985,"Men Woman, Masculinity, Gay, Msm"
P3_post_pandemic,87,19,4818,0.00394354503943545,Psychosis & psychotic-like experiences
P3_post_pandemic,89,31,4818,0.006434205064342051,Adverse childhood experiences (ACE)
P3_post_pandemic,90,26,4818,0.005396430053964301,"Gut, Microbiome, Ibs, Axis"
P3_post_pandemic,91,31,4818,0.006434205064342051,Adverse childhood experiences (ACE)
P3_post_pandemic,92,16,4818,0.0033208800332088003,"Genetic, Gene, Polymorphism, Geneenvironment"
P3_post_pandemic,93,31,4818,0.006434205064342051,"Ocd, Obsessivecompulsive, Obsessive Compulsive, Obsessive"
