topic,display_name,share_P1,share_P4,absolute_change_P1_to_P4,relative_change_P1_to_P4,count_P1,count_P4,z_stat_P1_vs_P4,p_value_P1_vs_P4,kendall_tau,kendall_p,mk_trend,theil_sen_slope_per_year,share_P1_pre_pandemic,share_P2_pandemic_transition,share_P3_post_pandemic,share_P4_recent,p_adj_P1_vs_P4,prevalence_class
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",0.010542962572482868,0.013620525815647768,0.0030775632431649,0.29190687361419076,20,43,-0.9548419738027085,0.3396576174635093,0.33333333333333337,0.3813492063492063,stable,0.0005021801740016825,0.010542962572482868,0.01019558884727424,0.011000415110004151,0.013620525815647768,0.6937687505637637,stable
49,"Woman Experience, Reproductive, Premenstrual, Family Plan",0.0063257775434897206,0.008552423186569529,0.0022266456430798083,0.3519955654101997,12,27,-0.8759350611340043,0.3810653377466089,0.23809523809523814,0.5619047619047619,stable,0.0002542865446091254,0.0063257775434897206,0.008531002913025386,0.008509755085097551,0.008552423186569529,0.7035052389168164,stable
48,"Teacher, Classroom, Attitude, Learner",0.007380073800738007,0.009502692429521698,0.0021226186287836906,0.2876148242001901,14,30,-0.7865300963359949,0.43155699423758054,0.23809523809523814,0.5619047619047619,stable,0.00040302097264122583,0.007380073800738007,0.00749063670411985,0.008717310087173101,0.009502692429521698,0.7438929378273725,stable
82,"Cptsd, Ptsd Cptsd, Icd, Complex Posttraumatic",0.0036900369003690036,0.0066518847006651885,0.002961847800296185,0.8026607538802661,7,21,-1.3736024449050475,0.1695651374911722,0.23809523809523814,0.5619047619047619,stable,0.0006122856099061683,0.0036900369003690036,0.005409904286308781,0.00684931506849315,0.0066518847006651885,0.5278615340284502,stable
97,"Cop Strategy, Cop Style, Style, Religious",0.008434370057986295,0.006968641114982578,-0.0014657289430037163,-0.1737804878048781,16,22,0.5840791140625687,0.5591670859754947,0.23809523809523814,0.5619047619047619,stable,0.0005485644521985887,0.008434370057986295,0.0035372451102788183,0.0037359900373599006,0.006968641114982578,0.800260014569074,stable
102,"Deprivation, Threat Deprivation, Deprivation Threat, Dimensional",0.0031628887717448603,0.0066518847006651885,0.003488995928920328,1.1031042128603104,6,21,-1.6476035278141556,0.09943405604053956,0.23809523809523814,0.5619047619047619,stable,0.00040239997151813944,0.0031628887717448603,0.0033291718684977114,0.004773765047737651,0.0066518847006651885,0.4150291034735564,stable
66,"Aud, Drinking, Drink, Alcoholrelated",0.00790722192936215,0.007602153943617358,-0.00030506798574479223,-0.03858093126385806,15,24,0.12001000050182405,0.904475225961825,0.23809523809523814,0.5619047619047619,stable,9.24349472067312e-05,0.00790722192936215,0.006658343736995423,0.006641760066417601,0.007602153943617358,0.9749679220952436,stable
65,Psychosis & psychotic-like experiences,0.006852925672113864,0.009185936015204309,0.002333010343090445,0.34044004775712106,13,29,-0.8846572947900614,0.37634149498983493,0.23809523809523814,0.5619047619047619,stable,0.000362276939035844,0.006852925672113864,0.005826050769870994,0.0072644250726442506,0.009185936015204309,0.7035052389168164,stable
76,"Narrative, Story, Autonomy, Psychoanalysis",0.0036900369003690036,0.006018371872030409,0.002328334971661405,0.6309787773202408,7,19,-1.1203397057926174,0.2625690279767443,0.23809523809523814,0.5619047619047619,stable,0.0006343131895089505,0.0036900369003690036,0.00686641697877653,0.007056870070568701,0.006018371872030409,0.6514653139357799,stable
9,"Offender, Offend, Juvenile, Criminal",0.022667369530838165,0.020272410516312955,-0.0023949590145252095,-0.10565668024544936,43,64,0.5726955608816541,0.5668508436530941,0.14285714285714288,0.7726190476190476,stable,0.0002806058683279501,0.022667369530838165,0.017478152309612985,0.015566625155666251,0.020272410516312955,0.800260014569074,stable
